
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.01
T[K]                          1290.000            2096.882
P[atm]                        60.20232            97.89606
V[m3]                         1.00000             1.00000
rho[kg/m3]                    17.92100            17.92100
MW[kg/kmol]                   31.51058            31.49841
Phi[-]                        0.06303             0.06303
H[J/kg]                       1.001716e+06        1.214835e+06
U[J/kg]                       6.613330e+05        6.613322e+05
Conv.(%) O2                   0.000e+00           6.344e+00
Conv.(%) CH4                  0.000e+00           1.000e+02
Total species (kmol)          5.687298e-01        5.689495e-01
Element(kmol) C               1.737464e-02        1.737464e-02
Element(kmol) H               6.949855e-02        6.949855e-02
Element(kmol) O               1.102710e+00        1.102710e+00
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
H                             0.000000e+00        1.905898e-08
H2                            0.000000e+00        2.379656e-07
O                             0.000000e+00        6.653278e-05
O2                            9.844461e-01        9.219900e-01
OH                            0.000000e+00        6.957174e-04
OH*                           0.000000e+00        1.547573e-13
H2O                           0.000000e+00        3.455115e-02
N2                            0.000000e+00        0.000000e+00
HO2                           0.000000e+00        3.218145e-05
H2O2                          0.000000e+00        1.569179e-06
AR                            0.000000e+00        0.000000e+00
CO                            0.000000e+00        8.237951e-06
CO2                           0.000000e+00        4.265434e-02
CH2O                          0.000000e+00        1.325793e-15
HCO                           0.000000e+00        1.504914e-13
HO2CHO                        0.000000e+00        1.301073e-14
HCOH                          0.000000e+00        4.154216e-19
O2CHO                         0.000000e+00        2.673463e-13
HOCHO                         0.000000e+00        6.471688e-13
OCHO                          0.000000e+00        5.349163e-12
HOCH2O2H                      0.000000e+00        9.181925e-25
HOCH2O2                       0.000000e+00        1.480315e-22
OCH2O2H                       0.000000e+00        4.532583e-24
HOCH2O                        0.000000e+00        2.341943e-21
CH3OH                         0.000000e+00        1.562304e-21
CH2OH                         0.000000e+00        1.094063e-21
CH3O                          0.000000e+00        4.180206e-23
CH3O2H                        0.000000e+00        1.337667e-26
CH3O2                         0.000000e+00        4.858832e-23
CH4                           1.555389e-02        5.176615e-22
CH3                           0.000000e+00        8.832997e-22
CH2                           0.000000e+00        1.563364e-24
CH2(S)                        0.000000e+00        2.950990e-26
C                             0.000000e+00        3.935456e-24
CH                            0.000000e+00        1.116935e-25
CH*                           0.000000e+00        8.548043e-28
C2H6                          0.000000e+00        1.361037e-29
C2H5                          0.000000e+00        1.309906e-32
C2H4                          0.000000e+00        4.465065e-25
C2H3                          0.000000e+00        1.538847e-27
C2H2                          0.000000e+00        7.128915e-19
C2H                           0.000000e+00        4.067068e-24
CH3CHO                        0.000000e+00        2.181171e-26
C2H3OH                        0.000000e+00        7.041424e-26
C2H2OH                        0.000000e+00        1.513767e-23
CH3CO                         0.000000e+00        6.171729e-27
CH2CHO                        0.000000e+00        2.214313e-27
O2CH2CHO                      0.000000e+00        9.828932e-31
HO2CH2CO                      0.000000e+00        0.000000e+00
CH2CO                         0.000000e+00        2.339992e-19
HCCO                          0.000000e+00        5.237582e-23
HCCOH                         0.000000e+00        2.762510e-16
CH3CO3H                       0.000000e+00        3.367777e-33
CH3CO3                        0.000000e+00        2.808592e-27
CH3CO2                        0.000000e+00        1.108258e-28
C2H5OH                        0.000000e+00        7.411458e-30
C2H5O                         0.000000e+00        3.356755e-37
PC2H4OH                       0.000000e+00        1.268399e-32
SC2H4OH                       0.000000e+00        8.744012e-31
O2C2H4OH                      0.000000e+00        3.836654e-30
C2H5O2H                       0.000000e+00        0.000000e+00
C2H5O2                        0.000000e+00        0.000000e+00
C2H4O2H                       0.000000e+00        0.000000e+00
C2H4O1-2                      0.000000e+00        0.000000e+00
C2H3O1-2                      0.000000e+00        6.801689e-26
CH3COCH3                      0.000000e+00        2.226797e-35
CH3COCH2                      0.000000e+00        8.462148e-34
CH3COCH2O2                    0.000000e+00        4.891399e-35
C3KET21                       0.000000e+00        3.340528e-42
C2H3CHO                       0.000000e+00        3.759629e-23
C2H3CO                        0.000000e+00        3.906810e-30
C2H5CHO                       0.000000e+00        1.310249e-41
C2H5CO                        0.000000e+00        4.153856e-39
CH3OCH3                       0.000000e+00        1.035978e-34
CH3OCH2                       0.000000e+00        0.000000e+00
CH3OCH2O2                     0.000000e+00        0.000000e+00
CH2OCH2O2H                    0.000000e+00        1.508008e-37
CH3OCH2O2H                    0.000000e+00        0.000000e+00
CH3OCH2O                      0.000000e+00        2.878308e-36
O2CH2OCH2O2H                  0.000000e+00        7.929841e-39
HO2CH2OCHO                    0.000000e+00        2.947637e-33
OCH2OCHO                      0.000000e+00        2.803659e-30
HOCH2OCO                      0.000000e+00        5.064365e-29
CH3OCHO                       0.000000e+00        0.000000e+00
CH3OCO                        0.000000e+00        1.216393e-29
CH2OCHO                       0.000000e+00        1.119408e-31
HE                            0.000000e+00        0.000000e+00
C3H8                          0.000000e+00        0.000000e+00
IC3H7                         0.000000e+00        1.562834e-36
NC3H7                         0.000000e+00        3.428780e-35
C3H6                          0.000000e+00        5.106769e-33
C3H5-A                        0.000000e+00        8.178557e-34
C3H5-S                        0.000000e+00        8.514871e-34
C3H5-T                        0.000000e+00        1.397575e-36
C3H4-P                        0.000000e+00        3.659451e-30
C3H4-A                        0.000000e+00        5.661554e-31
C3H3                          0.000000e+00        3.973127e-30
C3H5O                         0.000000e+00        7.664252e-35
C3H6OOH1-2                    0.000000e+00        1.395497e-38
C3H6OOH1-3                    0.000000e+00        5.627760e-40
C3H6OOH2-1                    0.000000e+00        1.708672e-38
C3H6OOH1-2O2                  0.000000e+00        1.440216e-40
C3H6OOH1-3O2                  0.000000e+00        6.265857e-42
C3H6OOH2-1O2                  0.000000e+00        1.896325e-40
C3H6OOH2-2                    0.000000e+00        1.196270e-39
NC3H7O2H                      0.000000e+00        0.000000e+00
IC3H7O2H                      0.000000e+00        0.000000e+00
