t[s](1)             x[m](2)             y[m](3)             z[m](4)             T[K](5)             P[Pa](6)            QR[W/m3](7)         r129(8)             
0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        1.290000e+03        6.100000e+06        -1.826203e+08       0.000000e+00        
4.619673e-09        0.000000e+00        0.000000e+00        0.000000e+00        1.290000e+03        6.100000e+06        -1.205689e+08       2.865722e-04        
5.395726e-08        0.000000e+00        0.000000e+00        0.000000e+00        1.290000e+03        6.099998e+06        -1.145417e+08       1.110698e-02        
4.887739e-07        0.000000e+00        0.000000e+00        0.000000e+00        1.289997e+03        6.099983e+06        -7.447066e+07       1.699837e-01        
1.663073e-06        0.000000e+00        0.000000e+00        0.000000e+00        1.289996e+03        6.099971e+06        4.896147e+07        6.400693e-01        
4.544718e-06        0.000000e+00        0.000000e+00        0.000000e+00        1.290035e+03        6.100138e+06        4.274844e+08        2.064515e+00        
7.666133e-06        0.000000e+00        0.000000e+00        0.000000e+00        1.290162e+03        6.100718e+06        9.457940e+08        3.928215e+00        
1.114720e-05        0.000000e+00        0.000000e+00        0.000000e+00        1.290428e+03        6.101951e+06        1.602208e+09        6.180213e+00        
1.524433e-05        0.000000e+00        0.000000e+00        0.000000e+00        1.290923e+03        6.104263e+06        2.408177e+09        8.867070e+00        
2.064113e-05        0.000000e+00        0.000000e+00        0.000000e+00        1.291884e+03        6.108770e+06        3.490948e+09        1.241842e+01        
2.749148e-05        0.000000e+00        0.000000e+00        0.000000e+00        1.293628e+03        6.116987e+06        4.946490e+09        1.704322e+01        
3.531176e-05        0.000000e+00        0.000000e+00        0.000000e+00        1.296404e+03        6.130123e+06        6.833757e+09        2.274963e+01        
4.149799e-05        0.000000e+00        0.000000e+00        0.000000e+00        1.299288e+03        6.143821e+06        8.618472e+09        2.788526e+01        
4.459111e-05        0.000000e+00        0.000000e+00        0.000000e+00        1.300997e+03        6.151954e+06        9.630351e+09        3.074922e+01        
5.077734e-05        0.000000e+00        0.000000e+00        0.000000e+00        1.305041e+03        6.171252e+06        1.201604e+10        3.724749e+01        
6.128075e-05        0.000000e+00        0.000000e+00        0.000000e+00        1.314336e+03        6.215777e+06        1.751870e+10        5.153589e+01        
